"ID";"Nombre";"Descripción";"Posición";"Mostrados";
"13";"Semillas Feminizadas ";"Aquí encontrarás todas las variedades de Semillas Feminizadas.Esta categoría incluye todas las variedades conocidas en el mercado y mucho más:¡Semillas Feminizadas, de la mejor calidad y al mejor precio!";"0";"1";
"15";"Semillas Autoflorecientes";"Aquí encontrarás todas las variedades de Semillas AutoflorecientesEsta categoría incluye todas las variedades conocidas en el mercado y mucho más:¡Semillas autoflorecientes de la mejor calidad y al mejor precio!";"1";"1";
"16";"Semillas Regulares";"Aquí encontrarás todas las variedades de Semillas Regulares.Esta categoría incluye todas las variedades conocidas en el mercado y mucho más:¡Semillas Regulares, de la mejor calidad y al mejor precio!";"2";"1";
"17";"Semillas Autoflorecientes Regulares";"Aquí encontrarás todas las variedades de Semillas Autoflorecientes Regulares.Esta categoría incluye todas las variedades conocidas en el mercado y mucho más:¡Semillas autoflorecienntes regulares, de la mejor calidad y al mejor precio!";"3";"1";
