id_product;id_supplier;id_manufacturer;id_category_default;id_shop_default;id_tax_rules_group;on_sale;online_only;ean13;upc;ecotax;quantity;minimal_quantity;price;wholesale_price;unity;unit_price_ratio;additional_shipping_cost;reference;supplier_reference;location;width;height;depth;weight;out_of_stock;quantity_discount;customizable;uploadable_files;text_fields;active;redirect_type;id_product_redirected;available_for_order;available_date;condition;show_price;indexed;visibility;cache_is_pack;cache_has_attachments;is_virtual;cache_default_attribute;date_add;date_upd;advanced_stock_management;pack_stock_type;id_shop;id_lang;description;description_short;link_rewrite;meta_description;meta_keywords;meta_title;name;available_now;available_later;id_stock_available;id_product_attribute;id_shop_group;depends_on_stock;id_category;id_theme;deleted;id_image;cover;position;id_product_download;display_filename;filename;date_expiration;nb_days_accessible;nb_downloadable;is_shareable;
"";"0";"0";"18";"1";"1";"0";"0";"";"";"0.000000";"4001";"1";"0.000000";"0.000000";"";"0.000000";"0.00";"gs-0018";"";"";"0.000000";"0.000000";"0.000000";"0.000000";"1";"0";"0";"0";"0";"";"404";"0";"1";"0000-00-00";"new";"1";"1";"both";"0";"0";"0";"2155";"";"2015-11-20 13:00:24";"0";"3";"1";"1";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"TIPO: Mostly Sativa 55%
FLORACION: 57-64 días
THC: 21%
CBD: Muy alta
PRODUCCION INT: 450-500 gr/m²";"dinafem";"";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"Dinafem Semillas De Marihuana";"Semillas Low Cost";"";"";"77";"0";"1";"0";"2";"2";"0";"41";"1";"1";"";"";"";"";"";"";"";
"";"0";"0";"18";"1";"1";"0";"0";"";"";"0.000000";"4";"1";"0.000000";"0.000000";"";"0.000000";"0.00";"gs-0019";"";"";"0.000000";"0.000000";"0.000000";"0.000000";"1";"0";"0";"0";"0";"";"404";"0";"1";"0000-00-00";"new";"1";"1";"both";"0";"0";"0";"2159";"";"2015-11-20 13:07:09";"0";"3";"1";"1";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"TIPO: Mostly Sativa 70%
FLORACION: 60-67 días
THC: 22%
CBD: Medio
PRODUCCION INT: 600-650 gr/m²";"dinafem";"";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"Dinafem Semillas De Marihuana";"Semillas Low Cost";"";"";"78";"0";"1";"0";"2";"2";"0";"42";"1";"1";"";"";"";"";"";"";"";
"";"0";"0";"18";"1";"1";"0";"0";"";"";"0.000000";"4";"1";"0.000000";"0.000000";"";"0.000000";"0.00";"gs-0020";"";"";"0.000000";"0.000000";"0.000000";"0.000000";"1";"0";"0";"0";"0";"";"404";"0";"1";"0000-00-00";"new";"1";"1";"both";"0";"0";"0";"2163";"";"2015-11-20 13:07:17";"0";"3";"1";"1";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"TIPO: Mostly Sativa 65%
FLORACION: 55-61 días
THC: 18%
CBD: Medio
PRODUCCION INT: 450-500 gr/m²";"dinafem";"";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"Dinafem Semillas De Marihuana";"Semillas Low Cost";"";"";"79";"0";"1";"0";"2";"2";"0";"43";"1";"1";"";"";"";"";"";"";"";
"";"0";"0";"18";"1";"1";"0";"0";"";"";"0.000000";"4";"1";"0.000000";"0.000000";"";"0.000000";"0.00";"gs-0021";"";"";"0.000000";"0.000000";"0.000000";"0.000000";"1";"0";"0";"0";"0";"";"404";"0";"1";"0000-00-00";"new";"1";"1";"both";"0";"0";"0";"2167";"";"2015-11-20 13:08:51";"0";"3";"1";"1";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"TIPO: Mostly Sativa 55%
FLORACION: 52-57 días
THC: 22%
CBD: Medio
PRODUCCION INT: 500-550 gr/m²";"dinafem";"";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"Dinafem Semillas De Marihuana";"Semillas Low Cost";"";"";"80";"0";"1";"0";"2";"2";"0";"44";"1";"1";"";"";"";"";"";"";"";
"";"0";"0";"18";"1";"1";"0";"0";"";"";"0.000000";"4";"1";"0.000000";"0.000000";"";"0.000000";"0.00";"gs-0022";"";"";"0.000000";"0.000000";"0.000000";"0.000000";"1";"0";"0";"0";"0";"";"404";"0";"1";"0000-00-00";"new";"1";"1";"both";"0";"0";"0";"2171";"";"2015-11-20 13:08:26";"0";"3";"1";"1";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"TIPO: Mostly Indica 65%
FLORACION: 51-56 días
THC: 26%
CBD: Alto
PRODUCCION INT: 750-800 gr/m²";"dinafem";"";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"Dinafem Semillas De Marihuana";"Semillas Low Cost";"";"";"81";"0";"1";"0";"2";"2";"0";"45";"1";"1";"";"";"";"";"";"";"";
"";"0";"0";"18";"1";"1";"0";"0";"";"";"0.000000";"4";"1";"0.000000";"0.000000";"";"0.000000";"0.00";"gs-0023";"";"";"0.000000";"0.000000";"0.000000";"0.000000";"1";"0";"0";"0";"0";"";"404";"0";"1";"0000-00-00";"new";"1";"1";"both";"0";"0";"0";"2175";"";"2015-11-20 13:08:20";"0";"3";"1";"1";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"TIPO: Mostly Indica 75%
FLORACION: 50-54 días
THC: 26%
CBD: Alto
PRODUCCION INT: 750-800 gr/m²";"dinafem";"";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"Dinafem Semillas De Marihuana";"Semillas Low Cost";"";"";"82";"0";"1";"0";"2";"2";"0";"46";"1";"1";"";"";"";"";"";"";"";
"";"0";"0";"18";"1";"1";"0";"0";"";"";"0.000000";"4";"1";"0.000000";"0.000000";"";"0.000000";"0.00";"gs-0024";"";"";"0.000000";"0.000000";"0.000000";"0.000000";"1";"0";"0";"0";"0";"";"404";"0";"1";"0000-00-00";"new";"1";"1";"both";"0";"0";"0";"2179";"";"2015-11-20 13:08:15";"0";"3";"1";"1";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"TIPO: Mostly Indica 65%
FLORACION: 60-65 días
THC: 20%
CBD: Alto
PRODUCCION INT: 500-550 gr/m²";"dinafem";"";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"Dinafem Semillas De Marihuana";"Semillas Low Cost";"";"";"83";"0";"1";"0";"2";"2";"0";"47";"1";"1";"";"";"";"";"";"";"";
"";"0";"0";"18";"1";"1";"0";"0";"";"";"0.000000";"4";"1";"0.000000";"0.000000";"";"0.000000";"0.00";"gs-0025";"";"";"0.000000";"0.000000";"0.000000";"0.000000";"1";"0";"0";"0";"0";"";"404";"0";"1";"0000-00-00";"new";"1";"1";"both";"0";"0";"0";"2183";"";"2015-11-20 13:08:39";"0";"3";"1";"1";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"TIPO: Mostly Sativa 60%
FLORACION: 68-73 días
THC: 22%
CBD: Medio
PRODUCCION INT: 450-500 gr/m²";"dinafem";"";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"Dinafem Semillas De Marihuana";"Semillas Low Cost";"";"";"84";"0";"1";"0";"2";"2";"0";"48";"1";"1";"";"";"";"";"";"";"";
"";"0";"0";"18";"1";"1";"0";"0";"";"";"0.000000";"4";"1";"0.000000";"0.000000";"";"0.000000";"0.00";"gs-0026";"";"";"0.000000";"0.000000";"0.000000";"0.000000";"1";"0";"0";"0";"0";"";"404";"0";"1";"0000-00-00";"new";"1";"1";"both";"0";"0";"0";"2191";"";"2015-11-20 13:12:26";"0";"3";"1";"1";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"TIPO: Mostly Sativa 65%
FLORACION: 58-63 días
THC: 23%
CBD: Medio
PRODUCCION INT: 500-550 gr/m²";"dinafem";"";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"Dinafem Semillas De Marihuana";"Semillas Low Cost";"";"";"85";"0";"1";"0";"2";"2";"0";"49";"1";"1";"";"";"";"";"";"";"";
"";"0";"0";"18";"1";"1";"0";"0";"";"";"0.000000";"4";"1";"0.000000";"0.000000";"";"0.000000";"0.00";"gs-0026";"";"";"0.000000";"0.000000";"0.000000";"0.000000";"1";"0";"0";"0";"0";"";"404";"0";"1";"0000-00-00";"new";"1";"1";"both";"0";"0";"0";"2195";"";"2015-11-20 13:12:31";"0";"3";"1";"1";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"TIPO: Mostly Sativa 60%
FLORACION: 58-63 días
THC: 22%
CBD: Medio
PRODUCCION INT: 600-650 gr/m²";"dinafem";"";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"Dinafem Semillas De Marihuana";"Semillas Low Cost";"";"";"86";"0";"1";"0";"2";"2";"0";"50";"1";"1";"";"";"";"";"";"";"";
